,timestamp,text,permission_processing,permission_sharing,language_code,topics
0,10/07/2026 10:36:26,"Moet een designer ""democratisch"" zijn ? Want, met te veel inspraak in de vormgeving, wordt het ontwerp wellicht te mainstream...??",Ja,Ja,nl,"[""museums_democracy"", ""direct_democracy""]"
1,30/07/2026 09:29:35,De laatste keer dat ik geweend heb was,Ja,Ja,nl,"[""everyday_democracy""]"
2,30/07/2026 23:26:37,"Gaat democratie, de processen en machtsverhoudingen daarin, nog aanzienlijk veranderen in de toekomst? Bijvoorbeeld door de invloed van AI of de klimaatcrisis.",Ja,Ja,nl,"[""what_is_democracy"", ""ecocracy""]"
3,31/07/2026 09:40:46,Democratie werkt enkel als...,Ja,Ja,nl,"[""what_is_democracy""]"
4,31/07/2026 09:51:18,Hoe kunnen we vermijden dat er anti-democratische leiders op democratische wijze verkozen worden? ,Ja,Ja,nl,"[""what_is_democracy"", ""exclusion_disillusion""]"
5,31/07/2026 09:53:09,Zal de liberale democratie de 21ste eeuw overleven? ,Ja,Ja,nl,"[""what_is_democracy""]"
6,31/07/2026 10:02:07,"Als jij premier bent, wat is je eerste voorstel?",Ja,Ja,nl,"[""belgian_democracy"", ""direct_democracy""]"
7,31/07/2026 10:11:22,Als het water in onze stad een stem zou hebben - wat zou zij dan zeggen? ,Ja,Ja,nl,"[""ecocracy""]"
8,31/07/2026 10:11:55,Als de bomen de macht hadden - welke keuzes zouden zij voor ons maken? ,Ja,Ja,nl,"[""ecocracy""]"
9,31/07/2026 10:13:17,"Als 30% van de bevolking (zij die onze stad bewonen en ze mee maken) studenten zijn, zou het dan niet beter zijn als zij ook bij beslissingen mee mogen bepalen wat de keuzes zijn? ",Ja,Ja,nl,"[""direct_democracy"", ""exclusion_disillusion"", ""everyday_democracy""]"
10,31/07/2026 10:15:02,Hoe zou het zijn mocht bij elke stemming er ook een aantal stemmen gegeven worden aan 'de toekomst' - een vertegenwoordiging van het belang van zij die twee of drie generaties na ons komen? ,Ja,Ja,nl,"[""direct_democracy"", ""ecocracy"", ""what_is_democracy""]"
11,31/07/2026 10:16:18,Wat moeten we het meest subsidiëren in oorlogstijd - de wapenindustrie of de cultuursector?,Ja,Ja,nl,"[""museums_democracy"", ""belgian_democracy""]"
12,31/07/2026 10:16:43,Ik ben vandaag het meest dankbaar voor.... ,Ja,Ja,nl,"[""everyday_democracy""]"
13,31/07/2026 10:17:02,Ik ben vandaag het meest ongerust over .... ,Ja,Ja,nl,"[""everyday_democracy""]"
14,31/07/2026 10:17:33,Ik moest recent nog glimlachen bij ...,Ja,Ja,nl,"[""everyday_democracy""]"
15,01/08/2026 10:35:38,"Gezien de voortdurende veranderingen in de samenleving, hoe kan de democratie zich aanpassen om onze rechten en democratische waarden en normen te beschermen?",Ja,Ja,nl,"[""what_is_democracy""]"
16,04/08/2026 22:16:40,Wat zou er in jouw leven veranderen als er plotseling geen democratie meer is,Ja,Ja,nl,"[""everyday_democracy"", ""what_is_democracy""]"
17,04/08/2026 22:21:06,Democratie zorgt ervoor dat beslissingen veel te lang worden uitgesteld door al het overleg. Democratie moet daarom dringend aan banden worden gelegd.,Ja,Ja,nl,"[""what_is_democracy"", ""exclusion_disillusion""]"
18,05/08/2026 12:09:37,"Compared to the expensive foreign Design-brands , will futuristic design be more democratic and answer to the basic needs of living?  ",Ja,Ja,en,"[""museums_democracy"", ""everyday_democracy""]"
19,05/08/2026 12:14:50,Will design adapt to smaller living spaces and flexibility ? Are we going to Japanese situations where small spaces urge for another kind of multifunctional design?,Ja,Ja,en,"[""museums_democracy"", ""everyday_democracy""]"
20,07/08/2026 16:31:34,"Er wordt me steeds verteld dat we in een democratisch systeem leven, maar waarom voelt het dan alsof mijn stem niet wordt gehoord?",Ja,Ja,nl,"[""exclusion_disillusion"", ""everyday_democracy""]"
21,07/08/2026 16:33:12,"Door een stem uit te brengen heb je zogezegd inspraak, maar het is toch vooral kiezen tussen een zeer beperkt aantal opties?",Ja,Ja,nl,"[""exclusion_disillusion"", ""direct_democracy""]"
22,07/08/2026 20:30:45,"Ik heb nog nooit meegedaan aan een betoging, want ik geloof niet dat dit effect heeft ",Ja,Ja,nl,"[""protest"", ""exclusion_disillusion""]"
23,11/08/2026 17:38:46,Zijn mensen die in een democratie leven gelukkiger?,Ja,Ja,nl,"[""what_is_democracy"", ""everyday_democracy""]"
24,13/08/2026 10:07:48,"Hoe ambitieuze ideeën/ambities intact houden in democratisch beslissingsproces? Hoe afzwakking vermijden tot middelmatige ideeën door compromissen, waardoor er niets wezenlijks verandert? 
",Ja,Ja,nl,"[""exclusion_disillusion"", ""what_is_democracy""]"
25,13/08/2026 10:39:03,Hoe vermijden dat 'democratie' afglijdt naar een 'ochlocratie' waarbij populisme de klok zwaait?,Ja,Ja,nl,"[""what_is_democracy"", ""direct_democracy""]"
26,14/08/2026 11:04:22,Which political system is still a real democracy?,Ja,Ja,en,"[""what_is_democracy""]"
27,19/08/2026 12:34:18,Waar staat de schoonste boom van Gent? Beschrijf ze in prozaïsch detail.,Ja,Ja,nl,"[""ecocracy"", ""everyday_democracy""]"
28,19/08/2026 12:34:51,Welke burgerlijke wet is de belangrijkste voor wormen?,Ja,Ja,nl,"[""ecocracy""]"
29,19/08/2026 12:35:27,Wie is meer waard voor de samenleving: een hond of een rat?,Ja,Ja,nl,"[""ecocracy""]"
30,19/08/2026 12:39:10,Gent is een natuurgebied – mensen leven er met allerlei andere soorten samen in dezelfde ruimte. Wat is volgens jou de belangrijkste gedragscode voor deze meer-dan-menselijke gemeenschap?,Ja,Ja,nl,"[""ecocracy"", ""everyday_democracy""]"
31,19/08/2026 12:42:51,"Gent is een natuurgebied - mensen merels, bomen en kevers leven in dezelfde ruimte. Welke plek is dan het centrum?",Ja,Ja,nl,"[""ecocracy""]"
